Year,CPI,Quarter
2019,1.812000036239624,1
2019,1.812000036239624,2
2019,1.812000036239624,3
2019,1.812000036239624,4
2020,1.2335843963066413,1
2020,1.2335843963066413,2
2020,1.2335843963066413,3
2020,1.2335843963066413,4
2021,4.697859,1
2021,4.697859,2
2021,4.697859,3
2021,4.697859,4
2022,8.0028,1
2022,8.0028,2
2022,8.0028,3
2022,8.0028,4
2023,4.128,1
2023,4.128,2
2023,4.128,3
2023,4.128,4
2024,2.9495110725289693,1
2024,2.9495110725289693,2
2024,2.9495110725289693,3
2024,2.9495110725289693,4
