City,Year,Quarter,index_nsa,Median Household Income,Total Population,INDPRO,VIXCLS,CPI,Unemployment Rate,City GDP
Los Angeles,2018,3,358.86,61904.75,3992787.25,103.83946666666667,12.900692307692307,2.44,4.5,1011441224.0
Los Angeles,2018,4,359.56,62474.0,3990469.0,103.99579999999999,21.238560606060606,2.44,4.066666666666666,1011441224.0
Los Angeles,2019,1,362.08,63710.0,3987736.0,103.007,16.612265625,1.812000036239624,4.266666666666667,1065709665.0
Los Angeles,2019,2,364.84,64946.0,3985003.0,102.41163333333333,15.160923076923078,1.812000036239624,3.866666666666667,1065709665.0
Los Angeles,2019,3,368.47,66182.0,3982270.0,102.41573333333334,15.965075757575757,1.812000036239624,4.3,1065709665.0
Los Angeles,2019,4,371.49,67418.0,3979537.0,101.8931,13.93840909090909,1.812000036239624,3.9,1065709665.0
Los Angeles,2020,1,375.74,66886.0,3977972.25,100.205,30.396538461538462,1.2335843963066413,4.966666666666666,1035818839.0
Los Angeles,2020,2,380.3,66354.0,3976407.5,87.45549999999999,34.501615384615384,1.2335843963066413,16.900000000000002,1035818839.0
Los Angeles,2020,3,383.87,65822.0,3974842.75,95.60816666666666,25.919469696969696,1.2335843963066413,14.4,1035818839.0
Los Angeles,2020,4,391.61,65290.0,3973278.0,97.22746666666667,25.491666666666667,1.2335843963066413,9.833333333333334,1035818839.0
Los Angeles,2021,1,401.66,66560.5,3942285.0,97.50453333333333,23.198671875,4.697859,9.833333333333334,1136155497.0
Los Angeles,2021,2,422.54,67831.0,3911292.0,99.05556666666666,17.983846153846155,4.697859,9.133333333333333,1136155497.0
Los Angeles,2021,3,442.82,69101.5,3880299.0,99.70116666666667,18.233636363636364,4.697859,8.0,1136155497.0
Los Angeles,2021,4,458.89,70372.0,3849306.0,100.93913333333334,19.31863636363636,4.697859,6.0,1136155497.0
Los Angeles,2022,1,477.82,71812.75,3842535.5,101.91120000000001,25.34984375,8.0028,5.366666666666667,1235919800.0
Los Angeles,2022,2,507.87,73253.5,3835765.0,102.8969,27.32207692307692,8.0028,4.366666666666666,1235919800.0
Los Angeles,2022,3,506.38,74694.25,3828994.5,103.25113333333333,24.792727272727273,8.0028,4.333333333333333,1235919800.0
Los Angeles,2022,4,496.39,76135.0,3822224.0,102.7922,24.945076923076925,8.0028,4.166666666666667,1235919800.0
Los Angeles,2023,1,494.8,,,102.7874,20.70869230769231,4.128,4.566666666666666,
Los Angeles,2023,2,506.32,,,102.86196666666667,16.47576923076923,4.128,4.333333333333333,
Los Angeles,2023,3,513.95,,,103.15846666666665,15.01323076923077,4.128,5.066666666666666,
Los Angeles,2023,4,520.15,,,102.6986,15.25123076923077,4.128,4.733333333333333,
Los Angeles,2024,1,528.24,,,102.24276666666667,13.693,2.9495110725289693,5.033333333333334,
Los Angeles,2024,2,537.17,,,102.8633,13.980307692307692,2.9495110725289693,5.033333333333333,
Los Angeles,2024,3,546.54,,,102.71139999999998,17.066666666666666,2.9495110725289693,5.933333333333334,
Los Angeles,2024,4,549.27,,,102.40293333333334,17.31984848484848,2.9495110725289693,5.3999999999999995,
Los Angeles,2025,1,553.22,,,103.46266666666668,18.50734375,,5.3,
Los Angeles,2025,2,557.97,,,103.8439,23.687153846153844,,5.133333333333333,
New York,1990,1,106.91,38909.0,7323000.0,62.1073,22.1684375,5.397953510284424,5.133333333333333,905117458.5021334
New York,1990,2,104.73,38909.0,7323000.0,62.54476666666667,18.735384615384614,5.397953510284424,5.0,908434200.0943556
New York,1990,3,103.75,38909.0,7323000.0,62.79926666666666,25.13446153846154,5.397953510284424,5.266666666666667,910526481.5288758
New York,1990,4,101.45,38909.0,7323000.0,61.83443333333333,26.005909090909093,5.397953510284424,5.933333333333334,910132127.8014829
New York,1991,1,100.92,38893.6,7322750.0,60.673399999999994,22.42734375,4.2349629402160645,6.7,911244747.1216531
New York,1991,2,100.79,38878.2,7322500.0,61.020833333333336,17.120923076923077,4.2349629402160645,7.3,914683267.2327137
New York,1991,3,100.26,38862.8,7322250.0,61.8953,16.651742424242425,4.2349629402160645,7.433333333333334,917642888.5526063
New York,1991,4,100.38,38847.4,7322000.0,62.0224,17.465833333333332,4.2349629402160645,7.8,919824968.746891
New York,1992,1,101.56,38832.0,7317500.0,61.94726666666667,17.589307692307692,3.028822660446167,8.433333333333334,922781761.6925321
New York,1992,2,100.87,38816.6,7313000.0,63.069700000000005,15.593,3.028822660446167,8.799999999999999,926084141.1320133
New York,1992,3,101.4,38801.2,7308500.0,63.56613333333333,13.90030303030303,3.028822660446167,8.933333333333334,928938993.8480172
New York,1992,4,101.89,38785.8,7304000.0,64.2135,14.684015151515151,3.028822660446167,8.700000000000001,932488285.8928905
New York,1993,1,101.49,38770.4,7304250.0,64.8008,13.263515625,2.951657295227051,8.266666666666667,934379978.8322318
New York,1993,2,102.02,38755.0,7304500.0,64.93016666666666,12.973230769230769,2.951657295227051,7.933333333333334,937442389.2225182
New York,1993,3,102.39,38739.6,7304750.0,65.17706666666668,12.123181818181818,2.951657295227051,7.833333333333333,940264723.5354807
New York,1993,4,102.75,38724.2,7305000.0,66.19523333333333,12.397121212121213,2.951657295227051,7.766666666666667,945308207.8370466
New York,1994,1,102.6,38708.8,7314000.0,67.01046666666667,13.44671875,2.6074390411376953,7.533333333333334,950752297.9480891
New York,1994,2,102.06,38693.4,7323000.0,68.23423333333334,14.59776923076923,2.6074390411376953,7.133333333333333,957311691.6520135
New York,1994,3,101.5,38678.0,7332000.0,69.10446666666667,12.53371212121212,2.6074390411376953,6.7,962080864.5198917
New York,1994,4,99.44,38662.6,7341000.0,70.50456666666666,15.258461538461537,2.6074390411376953,6.333333333333333,968371886.5164332
New York,1995,1,100.0,38647.2,7343250.0,71.23963333333333,12.017307692307693,2.805418014526367,6.166666666666667,971309963.1370065
New York,1995,2,101.52,38631.8,7345500.0,71.46206666666667,12.188538461538462,2.805418014526367,6.333333333333333,973933065.7171996
New York,1995,3,102.83,38616.4,7347750.0,72.15333333333334,12.447461538461539,2.805418014526367,6.433333333333334,978205290.7902558
New York,1995,4,102.89,38601.0,7350000.0,72.73813333333334,12.861846153846153,2.805418014526367,6.366666666666667,981996414.1908777
New York,1996,1,104.6,38585.6,7352750.0,73.23533333333334,15.362,2.9312081336975098,6.3,986118818.6222124
New York,1996,2,104.49,38570.2,7355500.0,74.81196666666666,16.382769230769227,2.9312081336975098,6.266666666666667,992842521.9834466
New York,1996,3,103.78,38554.8,7358250.0,75.78656666666667,16.768333333333334,2.9312081336975098,6.133333333333333,997066942.6058414
New York,1996,4,104.03,38539.4,7361000.0,76.83006666666667,17.225530303030304,2.9312081336975098,6.266666666666667,1002422998.5270588
New York,1997,1,104.65,38524.0,7366500.0,78.28623333333333,19.942265625,2.3376882076263428,6.533333333333334,1007292081.7525635
New York,1997,2,105.7,38508.6,7372000.0,79.40383333333334,19.904461538461536,2.3376882076263428,6.566666666666666,1014185005.1704843
New York,1997,3,106.89,38493.2,7377500.0,81.2606,22.418181818181818,2.3376882076263428,6.3999999999999995,1020615627.3681581
New York,1997,4,108.07,38477.8,7383000.0,83.32553333333334,27.166212121212123,2.3376882076263428,6.166666666666667,1025492306.7359605
New York,1998,1,110.12,38462.4,7388250.0,84.26833333333333,21.351015625,1.5522807836532593,5.8999999999999995,1030229913.0960934
New York,1998,2,111.43,38447.0,7393500.0,84.83383333333333,21.528153846153845,1.5522807836532593,5.6000000000000005,1035068016.4188266
New York,1998,3,113.08,38431.6,7398750.0,85.47613333333334,29.74037878787879,1.5522807836532593,5.466666666666666,1041735992.4404008
New York,1998,4,114.13,38416.2,7404000.0,86.65466666666667,29.3180303030303,1.5522807836532593,5.366666666666667,1049220401.8361478
New York,1999,1,116.43,38400.8,7410000.0,87.61966666666666,27.2915625,2.1880264282226562,5.3,1054739272.3389142
New York,1999,2,118.63,38385.4,7416000.0,88.44893333333334,24.385384615384616,2.1880264282226562,5.3,1060138009.8512402
New York,1999,3,123.34,38370.0,7422000.0,89.24696666666667,23.248863636363637,2.1880264282226562,5.233333333333333,1067279606.2523849
New York,1999,4,125.84,38354.6,7428000.0,90.83403333333332,22.62909090909091,2.1880264282226562,4.8999999999999995,1076439003.9128194
New York,2000,1,129.67,38339.2,7574750.0,91.7389,23.15353846153846,3.3768539428710938,4.633333333333333,1105967336.2293835
New York,2000,2,133.6,38323.8,7721500.0,92.86746666666666,24.936384615384615,3.3768539428710938,4.533333333333333,1140947078.0467117
New York,2000,3,137.86,38308.4,7868250.0,92.80366666666667,19.181846153846152,3.3768539428710938,4.5,1169276549.2051175
New York,2000,4,140.26,38293.0,8015000.0,92.5487,26.06223076923077,3.3768539428710938,4.333333333333333,1199396203.218858
